2020-06-12 23:28:51,050 [Worker-14: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-06-12 23:28:51,052 [Worker-14: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\SourabhDevle\Downloads\RestAPIQPPPJP-master(1)\RestAPIQPPPJP-master\src\test\resources
2020-06-12 23:30:00,346 [Worker-3: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-06-12 23:30:00,353 [Worker-3: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\SourabhDevle\Downloads\RestAPIQPPPJP-master(1)\RestAPIQPPPJP-master\src\main\resources
2020-06-12 23:30:00,356 [Worker-3: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-06-12 23:30:00,359 [Worker-3: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\SourabhDevle\Downloads\RestAPIQPPPJP-master(1)\RestAPIQPPPJP-master\src\test\resources
2020-06-12 23:30:09,047 [Worker-13: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-06-12 23:30:09,052 [Worker-13: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\SourabhDevle\Downloads\RestAPIQPPPJP-master(1)\RestAPIQPPPJP-master\src\main\resources
2020-06-12 23:30:09,057 [Worker-13: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-06-12 23:30:09,060 [Worker-13: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\SourabhDevle\Downloads\RestAPIQPPPJP-master(1)\RestAPIQPPPJP-master\src\test\resources
2020-06-12 23:30:32,771 [Worker-14: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-06-12 23:30:32,774 [Worker-14: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\SourabhDevle\Downloads\RestAPIQPPPJP-master(1)\RestAPIQPPPJP-master\src\main\resources
2020-06-12 23:30:32,776 [Worker-14: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-06-12 23:30:32,778 [Worker-14: Building] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\SourabhDevle\Downloads\RestAPIQPPPJP-master(1)\RestAPIQPPPJP-master\src\test\resources
2020-06-12 23:32:29,277 [Worker-1: Importing Maven projects] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: RestAssuredAPITesting:RestAssuredAPITesting:0.0.1-SNAPSHOT @ C:\Saurabh\Automation\RestAssuredPractice\RestAssuredAPITesting\pom.xml.
2020-06-12 23:32:32,866 [Worker-1: Importing Maven projects] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /RestAssuredAPITesting/src/main/java
2020-06-12 23:32:32,867 [Worker-1: Importing Maven projects] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /RestAssuredAPITesting/src/main/resources
2020-06-12 23:32:32,870 [Worker-1: Importing Maven projects] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /RestAssuredAPITesting/src/test/java
2020-06-12 23:32:32,871 [Worker-1: Importing Maven projects] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /RestAssuredAPITesting/src/test/resources
2020-06-12 23:32:33,356 [Worker-1: Importing Maven projects] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 4 sec
2020-06-12 23:32:37,194 [Worker-1: Building] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
